REFERENCE_ID,Name,Shortname,Usage,Description
CONNECT,connect,co,connect IP PORT,Connect this session to the given CollabServer
DISCONNECT,disconnect,disco,disconnect,Disconnect from the server
CREA_DATA,create,crea,create,Create and join new data. Can't be done if data already loaded
JOIN_DATA,join,join,join DATA_ID,Join an existing collaboration on a data
LEAVE_DATA,leave,leave,leave,Leave the current data you are working on (Still exists for other collaborators)
INFO,info,i,info,Display current session info such as connection status and number of collaborators
QUIT,quit,q,quit,Quit the editor
HELP,help,h,help [COMMAND],Display all available commands or display help for a specific command
UGLY,askgod,askgod,askgod,Ask god if you are ugly
EDGE_ADD,edgeAdd,eadd,edgeAdd VERTEX_SRC_ID VERTEX_DEST_ID,Add an edge between two vertex. Create the vertex if doesn’t exist
EDGE_REM,edgeRemove,erem,edgeRemove VERTEX_SRC_ID VERTEX_DEST_ID,Remove an edge going from source to destination
ATTR_ADD,attributeAdd,aadd,AttributeAdd [VERTEX_ID] [ATTR_NAME] [ATTR_VALUE],Add an attribute and its value to a vertex
ATTR_REM,attributeRemove,arem,AttributeRemove [VERTEX_ID] [ATTR_NAME],Remove attribute from a vertex
ATTR_SET,attributeSet,aset,attributeSet VERTEX_ID ATTR_NAME ATTR_VALUE,Set value of vertex attribute. Create any missing element if doesn't exists
VERTEX_ADD,vertexAdd,vadd,vertexAdd VERTEX_ID,Add a new vertex to the graph
VERTEX_REM,vertexRemove,vrem,vertexRemove VERTEX_ID,Remove this vertex from the graph
VERTEX_INFO,vertexInfo,vinfo,vertexInfo VERTEX_ID,Display the information about a vertex
VERTEX_LIST,vertexList,vlist,vertexList [--details],Display a list of all vertex in the graph
